SourceLocationID,BusLocationDesc,Address1,Address2,Address3,Address4,PostalCode,City,Province,Country,CountryName,PhoneNumber,FaxNumber,BrandShortName,BrandName,CategoryCode,CategoryName,BUTypeCode,BUType,Division,RegionCode,RegionDescription,COFR,CorporateOrFranchise,ProvinceID,ProvinceName,ConceptID,ConceptName,OperatingMode,OperatingModeName,OperatingStatus,AreaManager,AreaManagerABN,AreaManagerEmail,AreaManagerID,Director,DirectorEmail,DirectorID,VP,VPEmail,VPID,FranchiseeName,MUFranchiseeName,MUFranchiseeEmail,MUFranchiseeID,HistoryStatus,NationalRegionCode,NationalRegion,POSType,POSSystemName,BOHSystem,BOHSystemName,SquareFootage,RoyaltyPercent,AdvertisingPercent,DeliveryPercent,RoyaltyEffectiveFromDateKey,RoyaltyEffectiveToDateKey,RoyaltyPercent1,AdvertisingPercent1,DeliveryPercent1,RoyaltyEffectiveFromDateKey1,RoyaltyEffectiveToDateKey1,ARPaymentTerm,AROpenDateKey,StatusChangeType,OpenDateKey,CloseDateKey,RestaurantEmail,RestaurantLegalName,SecondaryConceptID,LegacyID,RestaurantLoginID,CreationTimeStamp,DistributionCentre,FocusGroup,RenoStartDateKey,RenoEndDateKey,RenoOpenDateKey,MultiUnitFranchiseePersonalEmail,TimeZone,StoreIPAddress,Longitude,Latitude,StorePOSType,StorePhoneSystemType,StoreNetworkType,BDMUniqueID,DirectorUniqueID,VPUniqueID,BuildingType,Patio,HasDriveThru,LatestConversionDateKey,SycoCustomerNo,TimeZone2,AreaManagerUDC,DirectorUDC,VPUDC
"571","Retail Operations","199 Four Valley Drive","","","","L4K 0B8","Vaughan","ON","CA","Canada","905-405-6500","905-405-6777","COR","Corporate-Admin","999","Not Applicable","OH","Company Overhead BU","Corporate-Admin","999","Closed","CO","Corporate","ON","Ontario","998","Not Applicable","RT","Retail Operations","Closed","Closed","",,"","Ken Grondin","kgrondin@recipeunlimited.com","","Shared Services",,"","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","998","Not Applicable","N/A",,,,,,,,,,,,,,,,"kgrondin@recipeunlimited.com","Retail Operations","998","","","07/04/2022 8:58:44 AM","Not Applicable","998",,,,,"EST","","","","","","","999","OTH","SHA",".","","",,".","America/Toronto","999","OTH","SHA"
"660","Toast Cafe-Head Office","6303 Airport Road","","","","L4V 1R8","Mississauga","ON","CA","Canada","905-405-6482","905-405-6774","COR","Corporate-Admin","QSR","Quick Service Restaurants","CO","Co Dev & Co Managed","Corporate-Admin","999","Closed","CO","Corporate","ON","Ontario","998","Not Applicable","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","999","Closed","999","Closed","",,,,,,,,,,,,"20081204","1","20051122",,"ltoffano@recipeunlimited.com","Toast Cafe-Head Office Rest.","6603","ATR6603","","07/04/2022 8:58:44 AM","Not Applicable","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Closed","America/Toronto","999","999","999"
"702","SCTO -Sheppard/Willodale","Fairview Mall","1800 Sheppard Ave. E.","","","M2J 1V4","Willowdale","ON","CA","Canada",,,"SWI","Swiss Chalet","FAM","Family","CO","Co Dev & Co Managed","Swiss Chalet","999","Closed","CO","Corporate","ON","Ontario","16","Swiss Express","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","ONT","Ontario","999","Closed","999","Closed","",,,,,,,,,,,,,"1",,"20070723","Swiss702@recipeunlimited.com","Swiss Chalet  Express","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Closed","America/Toronto","999","999","999"
"703","SCTO-Dixon Rd, Etobicoke","245 Dixon Rd","","","","M9P 2M4","Etobicoke","ON","CA","Canada","416-244-2488",,"SWI","Swiss Chalet","FAM","Family","CD","Co Dev & Fr Managed","Swiss Chalet","999","Closed","FR","Co Dev & Fr Managed","ON","Ontario","16","Swiss Express","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","ONT","Ontario","999","Closed","999","Closed","1693",,,,,,,,,,,"001",,"2","19880523",,"","Swiss Chalet - Loc #703","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Closed","America/Toronto","999","999","999"
"704","SCTO-Wilson Ave, North York","1591 Wilson Ave","","","","M3L 1A5","North York","ON","CA","Canada","416-241-7527",,"SWI","Swiss Chalet","FAM","Family","CD","Co Dev & Fr Managed","Swiss Chalet","999","Closed","FR","Co Dev & Fr Managed","ON","Ontario","16","Swiss Express","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","ONT","Ontario","999","Closed","999","Closed","",,,,,,,,,,,"001",,"2","19821216","20071230","Swiss704@recipeunlimited.com","Swiss Chalet - Loc #704","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Closed","America/Toronto","999","999","999"
"705","SCTO-Newmarket","6303 Airport Road","","","","L4V 1R8","Mississauga","ON","CA","Canada",,,"SWI","Swiss Chalet","FAM","Family","CD","Co Dev & Fr Managed","Swiss Chalet","999","Closed","FR","Co Dev & Fr Managed","ON","Ontario","16","Swiss Express","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","ONT","Ontario","999","Closed","999","Closed","",,,,,,,,,,,,,"2",,,"Swiss705@recipeunlimited.com","SCJV - Newmarket","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Closed","America/Toronto","999","999","999"
"707","Glen Manor & Queen St. Toronto","2148 Queen St E","","Swiss Chalet - Loc #707","","M4E 1E3","Toronto","ON","CA","Canada","416-693-2881","866-433-1062","SWI","Swiss Chalet","FAM","Family","FD","Fr Dev & Fr Managed","Swiss Chalet","BAO","BC, Alberta & Ontario","FD","Franchise","ON","Ontario","16","Swiss Express","OP","Operating","Active","Jessica Craigie","291331","jcraigie@recipeunlimited.com","","Deanne Myschuk","dmyschuk@recipeunlimited.com","","Sebastien Piche","sebastienpiche@recipeunlimited.com","","Anisur Salim","Anisur Salim","anisursalim@rogers.com","anisursalim@rogers.com","CO","ONT","Ontario","M41","Micros","FJD","RMS-Franchise","2254",,,,,,"5","4","4","20090705","20270201","EFT","20090706","7","19910305",,"swiss707@recipeunlimited.com","1798599 Ontario Inc.","998","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,"anisursalim@rogers.com","EST","10.127.208.2","-79.292945","43.671699","M55","","","130","149","100","Retail-End-Cap","0","0",,"1000093645","America/Toronto","130","149","100"
"708","SCTO-Yonge Street","","","","","","Toronto","ON","CA","Canada",,,"SWI","Swiss Chalet","FAM","Family","CD","Co Dev & Fr Managed","Swiss Chalet","999","Closed","FR","Co Dev & Fr Managed","ON","Ontario","16","Swiss Express","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","ONT","Ontario","999","Closed","999","Closed","",,,,,,,,,,,,,"2",,,"Swiss708@recipeunlimited.com","SC Take Out - Yonge Street","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Closed","America/Toronto","999","999","999"
"709","SCTO-Hurontario St, Brampton","10178 Hurontario St Unit 1","","","","L6V 1A1","Brampton","ON","CA","Canada",,,"SWI","Swiss Chalet","FAM","Family","CO","Co Dev & Co Managed","Swiss Chalet","999","Closed","CO","Corporate","ON","Ontario","16","Swiss Express","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","ONT","Ontario","999","Closed","999","Closed","1452",,,,,,,,,,,"001","20070101","4","19910614","20080929","Swiss709@recipeunlimited.com","Swiss Chalet - Loc #709","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Closed","America/Toronto","999","999","999"
"768","Harvey's-Ultra Van","6303 Airport Road","","","","L4V 1R8","Mississauga","ON","CA","Canada",,,"HAR","Harvey's","QSR","Quick Service Restaurants","CO","Co Dev & Co Managed","Harvey's","999","Closed","CO","Corporate","ON","Ontario","5","Harvey's","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","ONT","Ontario","999","Closed","999","Closed","",,,,,,,,,,,,,"1",,,"","Harvey's-Ultra Van","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Closed","America/Toronto","999","999","999"
