kind,id,selfLink,name,bucket,generation,metageneration,contentType,timeCreated,updated,storageClass,timeStorageClassUpdated,size,md5Hash,mediaLink,crc32c,etag,eventTime,eventType,notificationConfig,payloadFormat,objectGeneration,objectId,bucketId,overwroteGeneration,overwrittenByGeneration
storage#object,data-cube-migration/archive/franworks_sales_raw/fw_pix_items_2022042320220429.csv.gz/1651325475884638,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Ffranworks_sales_raw%2Ffw_pix_items_2022042320220429.csv.gz,archive/franworks_sales_raw/fw_pix_items_2022042320220429.csv.gz,data-cube-migration,1651325475884638,1,text/csv,2022-04-30T13:31:15.977Z,2022-04-30T13:31:15.977Z,STANDARD,2022-04-30T13:31:15.977Z,32178477,CcUSsfNfjSoZw/ewgHz/Bg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Ffranworks_sales_raw%2Ffw_pix_items_2022042320220429.csv.gz?generation=1651325475884638&alt=media,8iEt7g==,CN6cmOPyu/cCEAE=,2022-04-30T13:31:15.977911Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651325475884638,archive/franworks_sales_raw/fw_pix_items_2022042320220429.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/1909/n9_check_menu_item_detail_cmi_2022012120220127.csv.gz/1643369414571177,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/1909%2Fn9_check_menu_item_detail_cmi_2022012120220127.csv.gz,1909/n9_check_menu_item_detail_cmi_2022012120220127.csv.gz,data-cube-migration,1643369414571177,3,text/csv,2022-01-28T11:30:14.591Z,2022-04-28T23:23:03.843Z,COLDLINE,2022-04-28T23:23:03.843Z,71,I9nCqjxeqpd8wmiu1/MSSA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/1909%2Fn9_check_menu_item_detail_cmi_2022012120220127.csv.gz?generation=1643369414571177&alt=media,jNAAFQ==,CKnpwpGs1PUCEAM=,2022-04-28T23:23:03.843377Z,OBJECT_METADATA_UPDATE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1643369414571177,1909/n9_check_menu_item_detail_cmi_2022012120220127.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/pickle_barrel_sales_raw/pb_order_type.csv.gz/1651325537722649,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fpickle_barrel_sales_raw%2Fpb_order_type.csv.gz,archive/pickle_barrel_sales_raw/pb_order_type.csv.gz,data-cube-migration,1651325537722649,1,text/csv,2022-04-30T13:32:17.826Z,2022-04-30T13:32:17.826Z,STANDARD,2022-04-30T13:32:17.826Z,1171791,BtJuRvVQaph0kbtDPnwaiw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fpickle_barrel_sales_raw%2Fpb_order_type.csv.gz?generation=1651325537722649&alt=media,s5QsZQ==,CJnC1oDzu/cCEAE=,2022-04-30T13:32:17.826501Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651325537722649,archive/pickle_barrel_sales_raw/pb_order_type.csv.gz,data-cube-migration,1651239111749885,
storage#object,data-cube-migration/burger_priest_sales_raw/bp_viv_menu_categories.csv.gz/1651314627947709,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/burger_priest_sales_raw%2Fbp_viv_menu_categories.csv.gz,burger_priest_sales_raw/bp_viv_menu_categories.csv.gz,data-cube-migration,1651314627947709,1,text/csv,2022-04-30T10:30:28.037Z,2022-04-30T10:30:28.037Z,STANDARD,2022-04-30T10:30:28.037Z,7300,7y7WRknKUkabAFNeBY3dvw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/burger_priest_sales_raw%2Fbp_viv_menu_categories.csv.gz?generation=1651314627947709&alt=media,L85Txg==,CL3Zvq7Ku/cCEAE=,2022-04-30T13:30:46.262726Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651314627947709,burger_priest_sales_raw/bp_viv_menu_categories.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_kds_detail_2022032620220328.csv.gz/1648552646062190,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_kds_detail_2022032620220328.csv.gz,archive/micros_sales_raw/mm_kds_detail_2022032620220328.csv.gz,data-cube-migration,1648552646062190,2,text/csv,2022-03-29T11:17:26.093Z,2022-04-28T23:23:10.404Z,NEARLINE,2022-04-28T23:23:10.404Z,22690914,s68f9asH3GKno+WNW1/kWw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_kds_detail_2022032620220328.csv.gz?generation=1648552646062190&alt=media,JXKTtA==,CO7g8paZ6/YCEAI=,2022-04-28T23:23:10.404658Z,OBJECT_METADATA_UPDATE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1648552646062190,archive/micros_sales_raw/mm_kds_detail_2022032620220328.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/nyf_sales_raw/ny_orders_2022042220220428.csv.gz/1651239084320048,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fnyf_sales_raw%2Fny_orders_2022042220220428.csv.gz,archive/nyf_sales_raw/ny_orders_2022042220220428.csv.gz,data-cube-migration,1651239084320048,1,text/csv,2022-04-29T13:31:24.410Z,2022-04-29T13:31:24.410Z,STANDARD,2022-04-29T13:31:24.410Z,3896151,vPhnH3Nh0fg5ModMG/nkYQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fnyf_sales_raw%2Fny_orders_2022042220220428.csv.gz?generation=1651239084320048&alt=media,NRCaKQ==,CLDKvfiwufcCEAE=,2022-04-29T13:31:24.410030Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651239084320048,archive/nyf_sales_raw/ny_orders_2022042220220428.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/micros_sales_raw/mm_em_gc_esm.csv.gz/1651315861331270,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_em_gc_esm.csv.gz,micros_sales_raw/mm_em_gc_esm.csv.gz,data-cube-migration,1651315861331270,1,text/csv,2022-04-30T10:51:01.417Z,2022-04-30T10:51:01.417Z,STANDARD,2022-04-30T10:51:01.417Z,87085,KiQM0JpzqPpKUrmjAlOANw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/micros_sales_raw%2Fmm_em_gc_esm.csv.gz?generation=1651315861331270&alt=media,CNpB/w==,CMa6zvrOu/cCEAE=,2022-04-30T10:51:01.417351Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651315861331270,micros_sales_raw/mm_em_gc_esm.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/archive/burger_priest_sales_raw/bp_viv_employee.csv.gz/1651325440178093,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fburger_priest_sales_raw%2Fbp_viv_employee.csv.gz,archive/burger_priest_sales_raw/bp_viv_employee.csv.gz,data-cube-migration,1651325440178093,1,text/csv,2022-04-30T13:30:40.281Z,2022-04-30T13:30:40.281Z,STANDARD,2022-04-30T13:30:40.281Z,59868,7Q9j2rlcDAgm61y+8Rf6Ew==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fburger_priest_sales_raw%2Fbp_viv_employee.csv.gz?generation=1651325440178093&alt=media,psnD8A==,CK3vlNLyu/cCEAE=,2022-04-30T13:30:40.281204Z,OBJECT_FINALIZE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651325440178093,archive/burger_priest_sales_raw/bp_viv_employee.csv.gz,data-cube-migration,1651239039497034,
storage#object,data-cube-migration/1909/n9_check_detail_2022012320220129.csv.gz/1643542205248488,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/1909%2Fn9_check_detail_2022012320220129.csv.gz,1909/n9_check_detail_2022012320220129.csv.gz,data-cube-migration,1643542205248488,3,text/csv,2022-01-30T11:30:05.268Z,2022-04-30T21:22:31.207Z,COLDLINE,2022-04-30T21:22:31.207Z,57,5m85iqHXBJO6SZrQj26QAw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/1909%2Fn9_check_detail_2022012320220129.csv.gz?generation=1643542205248488&alt=media,lei9bw==,COjnxOqv2fUCEAM=,2022-04-30T21:22:31.207734Z,OBJECT_METADATA_UPDATE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1643542205248488,1909/n9_check_detail_2022012320220129.csv.gz,data-cube-migration,,
storage#object,data-cube-migration/burger_priest_sales_raw/bp_viv_menu_categories.csv.gz/1651401027851163,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/burger_priest_sales_raw%2Fbp_viv_menu_categories.csv.gz,burger_priest_sales_raw/bp_viv_menu_categories.csv.gz,data-cube-migration,1651401027851163,1,text/csv,2022-05-01T10:30:27.944Z,2022-05-01T10:30:27.944Z,STANDARD,2022-05-01T10:30:27.944Z,7300,8xTAE3cWhtHoOlCDSnOGzg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/burger_priest_sales_raw%2Fbp_viv_menu_categories.csv.gz?generation=1651401027851163&alt=media,a/hb+g==,CJunlp2MvvcCEAE=,2022-05-01T13:30:42.105636Z,OBJECT_DELETE,projects/_/buckets/data-cube-migration/notificationConfigs/12,JSON_API_V1,1651401027851163,burger_priest_sales_raw/bp_viv_menu_categories.csv.gz,data-cube-migration,,
