kind,id,selfLink,name,bucket,generation,metageneration,contentType,timeCreated,updated,storageClass,timeStorageClassUpdated,size,md5Hash,mediaLink,crc32c,etag,objectGeneration,eventType,overwrittenByGeneration,payloadFormat,objectId,notificationConfig,eventTime,bucketId,overwroteGeneration
storage#object,data-cube-migration/errors/em_har_cond_grp_sel_def.csv.gz/1651228249625320,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/errors%2Fem_har_cond_grp_sel_def.csv.gz,errors/em_har_cond_grp_sel_def.csv.gz,data-cube-migration,1651228249625320,1,text/csv,2022-04-29T10:30:49.723Z,2022-04-29T10:30:49.723Z,STANDARD,2022-04-29T10:30:49.723Z,4332,ajeNMGMONhcfe2VbyIBCXg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/errors%2Fem_har_cond_grp_sel_def.csv.gz?generation=1651228249625320&alt=media,dqK4RA==,COiljMqIufcCEAE=,1651228249625320,OBJECT_DELETE,1651314649255570,JSON_API_V1,errors/em_har_cond_grp_sel_def.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-30T10:30:49.353708Z,data-cube-migration,
storage#object,data-cube-migration/rms_labour_raw/rm_f_fcst_result_bu_min_day_wh_2022032220220328.csv.gz/1648551028535207,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_f_fcst_result_bu_min_day_wh_2022032220220328.csv.gz,rms_labour_raw/rm_f_fcst_result_bu_min_day_wh_2022032220220328.csv.gz,data-cube-migration,1648551028535207,2,text/csv,2022-03-29T10:50:28.565Z,2022-04-28T23:23:40.386Z,NEARLINE,2022-04-28T23:23:40.386Z,43448517,u3vGzcJD0YD0q9SMI7DXaw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_f_fcst_result_bu_min_day_wh_2022032220220328.csv.gz?generation=1648551028535207&alt=media,uYOi6Q==,CKffzJOT6/YCEAI=,1648551028535207,OBJECT_METADATA_UPDATE,,JSON_API_V1,rms_labour_raw/rm_f_fcst_result_bu_min_day_wh_2022032220220328.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-28T23:23:40.386980Z,data-cube-migration,
storage#object,data-cube-migration/rms_labour_raw/rm_recipe_item.csv.gz/1651315869481532,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_recipe_item.csv.gz,rms_labour_raw/rm_recipe_item.csv.gz,data-cube-migration,1651315869481532,1,text/csv,2022-04-30T10:51:09.581Z,2022-04-30T10:51:09.581Z,STANDARD,2022-04-30T10:51:09.581Z,39282,rVKDyVBFYVsCX4Q5anZnbQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_recipe_item.csv.gz?generation=1651315869481532&alt=media,sAxZmw==,CLz0v/7Ou/cCEAE=,1651315869481532,OBJECT_FINALIZE,,JSON_API_V1,rms_labour_raw/rm_recipe_item.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-30T10:51:09.581193Z,data-cube-migration,1651229468970299
storage#object,data-cube-migration/1909/n9_check_service_charge_details_csvc_2022012320220129.csv.gz/1643542205655076,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/1909%2Fn9_check_service_charge_details_csvc_2022012320220129.csv.gz,1909/n9_check_service_charge_details_csvc_2022012320220129.csv.gz,data-cube-migration,1643542205655076,3,text/csv,2022-01-30T11:30:05.674Z,2022-04-30T21:22:31.207Z,COLDLINE,2022-04-30T21:22:31.207Z,78,1/qiidK32mbVeY4PeL10vA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/1909%2Fn9_check_service_charge_details_csvc_2022012320220129.csv.gz?generation=1643542205655076&alt=media,QVaiUg==,CKTQ3eqv2fUCEAM=,1643542205655076,OBJECT_METADATA_UPDATE,,JSON_API_V1,1909/n9_check_service_charge_details_csvc_2022012320220129.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-30T21:22:31.207734Z,data-cube-migration,
storage#object,data-cube-migration/archive/burger_priest_sales_raw/bp_viv_sales_2022032220220328.csv.gz/1648560630674089,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fburger_priest_sales_raw%2Fbp_viv_sales_2022032220220328.csv.gz,archive/burger_priest_sales_raw/bp_viv_sales_2022032220220328.csv.gz,data-cube-migration,1648560630674089,2,text/csv,2022-03-29T13:30:30.704Z,2022-04-28T23:23:05.980Z,NEARLINE,2022-04-28T23:23:05.980Z,54,y6ZGdqOR/46JTzm2+kCL5Q==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fburger_priest_sales_raw%2Fbp_viv_sales_2022032220220328.csv.gz?generation=1648560630674089&alt=media,mXmhiw==,CKnloPa26/YCEAI=,1648560630674089,OBJECT_METADATA_UPDATE,,JSON_API_V1,archive/burger_priest_sales_raw/bp_viv_sales_2022032220220328.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-28T23:23:05.980924Z,data-cube-migration,
storage#object,data-cube-migration/archive/micros_sales_raw/mm_guest_check_line_item_hist_2022012520220126.csv.gz/1643372700310584,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_guest_check_line_item_hist_2022012520220126.csv.gz,archive/micros_sales_raw/mm_guest_check_line_item_hist_2022012520220126.csv.gz,data-cube-migration,1643372700310584,3,text/csv,2022-01-28T12:25:00.331Z,2022-04-28T23:23:10.410Z,COLDLINE,2022-04-28T23:23:10.410Z,88452517,zgQxIc5lSQ3I0xRWQn7eJA==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fmicros_sales_raw%2Fmm_guest_check_line_item_hist_2022012520220126.csv.gz?generation=1643372700310584&alt=media,FALAKA==,CLi4pLC41PUCEAM=,1643372700310584,OBJECT_METADATA_UPDATE,,JSON_API_V1,archive/micros_sales_raw/mm_guest_check_line_item_hist_2022012520220126.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-28T23:23:10.410093Z,data-cube-migration,
storage#object,data-cube-migration/archive/pickle_barrel_sales_raw/pb_check_detail_2022032220220328.csv.gz/1648560637403932,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/archive%2Fpickle_barrel_sales_raw%2Fpb_check_detail_2022032220220328.csv.gz,archive/pickle_barrel_sales_raw/pb_check_detail_2022032220220328.csv.gz,data-cube-migration,1648560637403932,2,text/csv,2022-03-29T13:30:37.433Z,2022-04-28T23:23:21.050Z,NEARLINE,2022-04-28T23:23:21.050Z,2166680,ApX9GUC9iN24D6nfgknmDQ==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/archive%2Fpickle_barrel_sales_raw%2Fpb_check_detail_2022032220220328.csv.gz?generation=1648560637403932&alt=media,NlXfIg==,CJzGu/m26/YCEAI=,1648560637403932,OBJECT_METADATA_UPDATE,,JSON_API_V1,archive/pickle_barrel_sales_raw/pb_check_detail_2022032220220328.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-28T23:23:21.050734Z,data-cube-migration,
storage#object,data-cube-migration/rms_labour_raw/rm_f_gen_labor_requirements_ideal_min_bu_day_2021123120220127.csv.gz/1643370627477948,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_f_gen_labor_requirements_ideal_min_bu_day_2021123120220127.csv.gz,rms_labour_raw/rm_f_gen_labor_requirements_ideal_min_bu_day_2021123120220127.csv.gz,data-cube-migration,1643370627477948,3,text/csv,2022-01-28T11:50:27.498Z,2022-04-28T23:23:41.296Z,COLDLINE,2022-04-28T23:23:41.296Z,21269375,0R2lnAEJI0Ls8Xz1962Lmw==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_f_gen_labor_requirements_ideal_min_bu_day_2021123120220127.csv.gz?generation=1643370627477948&alt=media,HZK3qA==,CLzj8NOw1PUCEAM=,1643370627477948,OBJECT_METADATA_UPDATE,,JSON_API_V1,rms_labour_raw/rm_f_gen_labor_requirements_ideal_min_bu_day_2021123120220127.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-28T23:23:41.296490Z,data-cube-migration,
storage#object,data-cube-migration/rms_labour_raw/rm_f_gen_labor_sched_empl_role_bu_day_wh_2022012120220127.csv.gz/1643370627785921,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_f_gen_labor_sched_empl_role_bu_day_wh_2022012120220127.csv.gz,rms_labour_raw/rm_f_gen_labor_sched_empl_role_bu_day_wh_2022012120220127.csv.gz,data-cube-migration,1643370627785921,3,text/csv,2022-01-28T11:50:27.806Z,2022-04-28T23:23:41.296Z,COLDLINE,2022-04-28T23:23:41.296Z,198057,bhx9kMKSleDd9BCpU0rCSg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_f_gen_labor_sched_empl_role_bu_day_wh_2022012120220127.csv.gz?generation=1643370627785921&alt=media,dW5t8g==,CMHJg9Sw1PUCEAM=,1643370627785921,OBJECT_METADATA_UPDATE,,JSON_API_V1,rms_labour_raw/rm_f_gen_labor_sched_empl_role_bu_day_wh_2022012120220127.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-28T23:23:41.296490Z,data-cube-migration,
storage#object,data-cube-migration/rms_labour_raw/rm_f_gen_metric_min_bu_day_wh_2022032220220328.csv.gz/1648551039661847,https://www.googleapis.com/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_f_gen_metric_min_bu_day_wh_2022032220220328.csv.gz,rms_labour_raw/rm_f_gen_metric_min_bu_day_wh_2022032220220328.csv.gz,data-cube-migration,1648551039661847,2,text/csv,2022-03-29T10:50:39.692Z,2022-04-28T23:23:41.994Z,NEARLINE,2022-04-28T23:23:41.994Z,12118188,mHnxaSFypHDi3IbHJX7zvg==,https://www.googleapis.com/download/storage/v1/b/data-cube-migration/o/rms_labour_raw%2Frm_f_gen_metric_min_bu_day_wh_2022032220220328.csv.gz?generation=1648551039661847&alt=media,kzIeEg==,CJfu85iT6/YCEAI=,1648551039661847,OBJECT_METADATA_UPDATE,,JSON_API_V1,rms_labour_raw/rm_f_gen_metric_min_bu_day_wh_2022032220220328.csv.gz,projects/_/buckets/data-cube-migration/notificationConfigs/12,2022-04-28T23:23:41.994905Z,data-cube-migration,
